Novak Djokovic,Tomas Berdych,7,2:1,1.07,9.00,1.22,5.50,13.00,17.00

Novak Djokovic,Rafael Nadal,6,2:0,1.40,3.00,1.90,3.75,5.00,6.50
Tomas Berdych,Gael Monfils,6,2:0,1.90,1.90,2.87,4.33,2.87,4.33

Rafael Nadal,David Ferrer,5,2:1,1.40,3.00,1.90,3.75,5.00,6.00
Novak Djokovic,Marin Cilic,5,2:0,1.04,13.00,1.18,5.50,15.00,19.00
Gael Monfils,Grigor Dimitrov,5,2:0,1.80,2.00,2.87,4.00,3.00,4.50
Tomas Berdych,Milos Raonic,5,2:0,1.44,2.75,2.10,3.75,4.33,5.50

Novak Djokovic,Andreas Haider-Maurer,4,2:0,1.01,21.00,1.10,7.00,21.00,26.00
David Ferrer,Gilles Simon,4,2:1,1.16,5.00,1.50,4.00,7.50,9.00
Marin Cilic,Jo-Wilfried Tsonga,4,2:0,2.62,1.44,4.33,5.50,2.10,3.75
Rafael Nadal,John Isner,4,2:1,1.10,7.00,1.33,5.00,9.50,13.00
Tomas Berdych,Roberto Bautista Agut,4,2:0,1.33,3.25,1.83,3.75,5.00,5.75
Gael Monfils,Roger Federer,4,2:0,4.00,1.22,6.50,8.00,1.61,4.00
Grigor Dimitrov,Stan Wawrinka,4,2:0,2.62,1.44,4.33,5.50,2.10,4.00
Milos Raonic,Tommy Robredo,4,2:1,1.40,2.75,2.00,3.75,4.50,6.00