Novak Djokovic,Roger Federer,7,3:1,1.66,2.20,3.75,4.50,6.00,5.00,5.50,6.50

Novak Djokovic,Marin Cilic,6,3:0,1.12,6.00,1.72,3.75,8.00,17.00,15.00,13.00
Roger Federer,Stan Wawrinka,6,3:0,1.30,3.50,2.37,3.75,6.50,10.00,8.50,9.00

Novak Djokovic,Feliciano Lopez,5,3:1,1.02,15.00,1.28,4.33,12.00,41.00,34.00,26.00
Marin Cilic,Jo Wilfried Tsonga,5,3:2,2.30,1.61,5.50,5.50,7.00,3.50,4.33,6.00
Stan Wawrinka,Kevin Anderson,5,3:0,1.57,2.37,3.20,4.00,6.00,6.50,6.00,7.00
Roger Federer,Richard Gasquet,5,3:0,1.08,8.00,1.53,3.75,9.00,23.00,19.00,17.00

Novak Djokovic,Roberto Bautista Agut,4,3:1,1.00,26.00,1.16,5.00,17.00,67.00,51.00,41.00
Feliciano Lopez,Fabio Fognini,4,3:0,1.80,2.00,4.00,4.50,6.00,5.00,5.00,6.50
Jo Wilfried Tsonga,Benoit Paire,4,3:0,1.30,3.50,2.25,3.75,6.50,10.00,9.00,9.00
Marin Cilic,Jeremy Chardy,4,3:1,1.50,2.62,3.20,4.00,6.00,6.50,6.00,7.00
Stan Wawrinka,Donald Young,4,3:1,1.11,6.50,1.72,3.75,8.00,19.00,15.00,13.00
Kevin Anderson,Andy Murray,4,3:1,6.00,1.12,21.00,13.00,13.00,1.83,3.40,7.50
Richard Gasquet,Tomas Berdych,4,3:1,2.37,1.57,6.00,6.00,7.00,3.25,4.33,5.21
Roger Federer,John Isner,4,3:0,1.10,7.00,1.61,3.75,8.50,19.00,17.00,15.00

Novak Djokovic,Andreas Seppi,3,3:0,1.01,26.00,1.16,5.00,17.00,67.00,51.00,41.00
Roberto Bautista Agut,David Goffin,3,2:3,2.50,1.53,6.50,6.50,7.50,3.00,4.00,6.00
Feliciano Lopez,Milos Raonic,3,3:0,2.50,1.53,6.50,6.50,7.50,3.00,4.00,6.00
Fabio Fognini,Rafael Nadal,3,3:2,3.50,1.30,9.50,8.50,9.00,2.37,3.75,5.26
Benoit Paire,Tommy Robredo,3,3:0,2.30,1.61,5.50,5.50,7.00,3.50,4.33,6.00
Jo Wilfried Tsonga,Sergiy Stakhovsky,3,3:0,1.07,9.00,1.50,3.75,9.00,26.00,19.00,17.00
Marin Cilic,Mikhail Kukushkin,3,3:2,1.22,4.33,2.10,3.75,7.00,12.00,10.00,10.00
Jeremy Chardy,David Ferrer,3,3:1,2.50,1.53,6.50,6.00,7.00,3.20,4.00,6.00
Stan Wawrinka,Ruben Bemelmans,3,3:0,1.04,13.00,1.30,4.33,12.00,41.00,34.00,23.00
Donald Young,Viktor Troicki,3,3:2,1.90,1.90,4.50,5.00,6.50,4.50,5.00,6.50
Kevin Anderson,Dominic Thiem,3,3:0,1.40,3.00,2.75,4.00,6.00,7.50,7.00,7.50
Andy Murray,Thomaz Bellucci,3,3:0,1.05,11.00,1.40,4.00,10.00,34.00,26.00,19.00
Tomas Berdych,Guillermo Garcia Lopez,3,3:1,1.10,7.00,1.61,3.75,8.50,21.00,17.00,15.00
Richard Gasquet,Bernard Tomic,3,3:0,1.25,4.00,2.20,3.75,6.50,11.00,9.50,9.50
John Isner,Jiri Vesely,3,3:0,1.22,4.33,2.10,3.75,7.00,12.00,10.00,10.00
Roger Federer,Philipp Kohlschreiber,3,3:0,1.04,13.00,1.36,4.00,11.00,34.00,26.00,23.00